(snappy, comp 4, no-shuffle) Time: 8718 ms, size 2452909560 bytes
(snappy, comp 4, no-shuffle) Time: 8816 ms, size 2452909560 bytes
(snappy, comp 4, byte-shuffle) Time: 8763 ms, size 2452909560 bytes
(snappy, comp 4, byte-shuffle) Time: 8207 ms, size 2452909560 bytes
(snappy, comp 4, byte-shuffle) Time: 8574 ms, size 2452909560 bytes
(snappy, comp 4, bit-shuffle) Time: 9071 ms, size 2452909560 bytes
(snappy, comp 4, bit-shuffle) Time: 8632 ms, size 2452909560 bytes
(snappy, comp 4, bit-shuffle) Time: 8305 ms, size 2452909560 bytes
(snappy, comp 5, no-shuffle) Time: 8904 ms, size 2452909560 bytes
(snappy, comp 5, no-shuffle) Time: 8697 ms, size 2452909560 bytes
(snappy, comp 5, no-shuffle) Time: 8682 ms, size 2452909560 bytes
(snappy, comp 5, byte-shuffle) Time: 8269 ms, size 2452909560 bytes
(snappy, comp 5, byte-shuffle) Time: 8917 ms, size 2452909560 bytes
(snappy, comp 5, byte-shuffle) Time: 9267 ms, size 2452909560 bytes
(snappy, comp 5, bit-shuffle) Time: 8641 ms, size 2452909560 bytes
(snappy, comp 5, bit-shuffle) Time: 7882 ms, size 2452909560 bytes
(snappy, comp 5, bit-shuffle) Time: 8887 ms, size 2452909560 bytes
(snappy, comp 6, no-shuffle) Time: 8896 ms, size 2452909560 bytes
(snappy, comp 6, no-shuffle) Time: 8933 ms, size 2452909560 bytes
(snappy, comp 6, no-shuffle) Time: 8087 ms, size 2452909560 bytes
(snappy, comp 6, byte-shuffle) Time: 8920 ms, size 2452909560 bytes
(snappy, comp 6, byte-shuffle) Time: 8909 ms, size 2452909560 bytes
(snappy, comp 6, byte-shuffle) Time: 9067 ms, size 2452909560 bytes
(snappy, comp 6, bit-shuffle) Time: 7728 ms, size 2452909560 bytes
(snappy, comp 6, bit-shuffle) Time: 9026 ms, size 2452909560 bytes
(snappy, comp 6, bit-shuffle) Time: 9575 ms, size 2452909560 bytes
(snappy, comp 7, no-shuffle) Time: 8643 ms, size 2452909560 bytes
(snappy, comp 7, no-shuffle) Time: 7297 ms, size 2452909560 bytes
(snappy, comp 7, no-shuffle) Time: 8754 ms, size 2452909560 bytes
(snappy, comp 7, byte-shuffle) Time: 8663 ms, size 2452909560 bytes
(snappy, comp 7, byte-shuffle) Time: 8788 ms, size 2452909560 bytes
(snappy, comp 7, byte-shuffle) Time: 8317 ms, size 2452909560 bytes
(snappy, comp 7, bit-shuffle) Time: 8774 ms, size 2452909560 bytes
(snappy, comp 7, bit-shuffle) Time: 8399 ms, size 2452909560 bytes
(snappy, comp 7, bit-shuffle) Time: 8645 ms, size 2452909560 bytes
(snappy, comp 8, no-shuffle) Time: 8680 ms, size 2452909560 bytes
(snappy, comp 8, no-shuffle) Time: 8699 ms, size 2452909560 bytes
(snappy, comp 8, no-shuffle) Time: 8722 ms, size 2452909560 bytes
(snappy, comp 8, byte-shuffle) Time: 8741 ms, size 2452909560 bytes
(snappy, comp 8, byte-shuffle) Time: 8554 ms, size 2452909560 bytes
(snappy, comp 8, byte-shuffle) Time: 8730 ms, size 2452909560 bytes
(snappy, comp 8, bit-shuffle) Time: 8631 ms, size 2452909560 bytes
(snappy, comp 8, bit-shuffle) Time: 8663 ms, size 2452909560 bytes
(snappy, comp 8, bit-shuffle) Time: 8526 ms, size 2452909560 bytes
(snappy, comp 9, no-shuffle) Time: 8682 ms, size 2452909560 bytes
(snappy, comp 9, no-shuffle) Time: 8514 ms, size 2452909560 bytes
(snappy, comp 9, no-shuffle) Time: 8616 ms, size 2452909560 bytes
(snappy, comp 9, byte-shuffle) Time: 8568 ms, size 2452909560 bytes
(snappy, comp 9, byte-shuffle) Time: 8727 ms, size 2452909560 bytes
(snappy, comp 9, byte-shuffle) Time: 8584 ms, size 2452909560 bytes
(snappy, comp 9, bit-shuffle) Time: 8646 ms, size 2452909560 bytes
(snappy, comp 9, bit-shuffle) Time: 8594 ms, size 2452909560 bytes
(snappy, comp 9, bit-shuffle) Time: 8747 ms, size 2452909560 bytes
(zlib, comp 0, no-shuffle) Time: 3703 ms, size 2452909560 bytes
(zlib, comp 0, no-shuffle) Time: 9868 ms, size 2452909560 bytes
(zlib, comp 0, no-shuffle) Time: 9845 ms, size 2452909560 bytes
(zlib, comp 0, byte-shuffle) Time: 8907 ms, size 2452909560 bytes
(zlib, comp 0, byte-shuffle) Time: 8680 ms, size 2452909560 bytes
(zlib, comp 0, byte-shuffle) Time: 8598 ms, size 2452909560 bytes
(zlib, comp 0, bit-shuffle) Time: 8801 ms, size 2452909560 bytes
(zlib, comp 0, bit-shuffle) Time: 8483 ms, size 2452909560 bytes
